marketing_name,dld_area_en,confidence,note,unmatched_targets_review
Al Jaddaf,JADDAF WATERFRONT|Al Jadaf,high,,
DIFC,Zaabeel Second|Trade Center Second,medium,DIFC straddles Zaabeel/Trade Center cadastral,
Za'abeel,Zaabeel First|Zaabeel Second,high,,
The Greens,THE GREENS,high,,
The Views,EMIRATE LIVING|THE LAKES,medium,,
Emirates Living,EMIRATE LIVING|THE GREENS|THE LAKES|Emirate Living,high,DLD typo 'EMIRATE LIVING',
The Lakes,THE LAKES,high,,
Jebel Ali Village,DOWN TOWN JABAL ALI|Jabal Ali First,medium,,
Dubai Investment Park,DUBAI INVESTMENT PARK FIRST|DUBAI INVESTMENT PARK SECOND|Dubai Investment Park First|Dubai Investment Park Second,high,dedupe casing,
DIP,DUBAI INVESTMENT PARK FIRST|DUBAI INVESTMENT PARK SECOND,high,,
Dubai Science Park,DUBAI SCIENCE PARK,high,,
Dubai Industrial City,DUBAI INDUSTRIAL CITY,high,,
Barsha Heights,BARSHA HEIGHTS,high,fka Tecom,
Tecom,BARSHA HEIGHTS|TECOM SITE A|TECOM SITE D,medium,,
Al Barari,AL BARARI,high,,
Living Legends,LIVING LEGENDS,high,,
Falcon City,FALCON CITY OF WONDERS,high,,
City of Arabia,CITY OF ARABIA,high,,
Mudon,MUDON,high,,
Mira,MIRA,high,,
Remraam,REMRAAM,high,,
Serena,SERENA,high,,
Villanova,VILLANOVA,high,,
The Villa,THE VILLA,high,,
Nad Al Sheba,Nad Al Shiba First|Nad Al Shiba Third|Nad Al Sheba Gardens|NAD AL SHEBA GARDENS,high,,
Jumeirah Park,JUMEIRAH PARK,high,,
Jumeirah Islands,JUMEIRAH ISLANDS,high,,
La Mer,LA MER,high,,
Pearl Jumeirah,PEARL JUMEIRA,high,,
Jumeira Bay,JUMEIRA BAY,high,Bvlgari island,
The World Islands,THE WORLD|DUBAI WATER FRONT,medium,,
Sustainable City,SUSTAINABLE CITY,high,,
Dubai Healthcare City,DUBAI HEALTHCARE CITY - PHASE 1|DUBAI HEALTHCARE CITY - PHASE 2,high,,
Dubai Design District,DUBAI DESIGN DISTRICT,high,d3,
d3,DUBAI DESIGN DISTRICT,high,,
Dubai Investment Park First,DUBAI INVESTMENT PARK FIRST|Dubai Investment Park First,high,casing dedupe,
