cadastral_name,arabic_name,likely_community_name,confidence,category,transaction_count,has_full_data,has_price,has_rent,has_yield,unit_sales,villa_sales,land_sales,unit_share_pct,nearest_landmark,nearest_metro,master_projects_top3,action_needed
Madinat Dubai Almelaheyah,مدينة دبي الملاحية,Dubai Maritime City,high,A,799,Y,Y,Y,Y,14431,0,143,98.7,Burj Khalifa,Al Jafiliya Metro Station,Dubai Maritime City | Mina Rashid,Surface as 'Dubai Maritime City' (alias → Madinat Dubai Almelaheyah)
Wadi Al Safa 5,وادي الصفا 5,Dubai Land Residence Complex,high,A,778,Y,Y,Y,Y,34021,22932,4521,55.2,IMG World Adventures,,Dubai Land Residence Complex | Arabian Ranches 3 | The Villa,Surface as 'Dubai Land Residence Complex' (alias → Wadi Al Safa 5)
Al Wasl,الوصل,City Walk,high,A,603,Y,Y,Y,Y,12817,395,572,92.4,Burj Khalifa,Business Bay Metro Station,City Walk | Dubai Water Canal | Al Wasl District,Surface as 'City Walk' (alias → Al Wasl)
Zaabeel Second,زعبيل الثانيه,Business Park,high,A,557,Y,Y,Y,Y,5239,0,22,99.5,Burj Khalifa,Financial Centre,Business Park | Dubai International Financial Center,Surface as 'Business Park' (alias → Zaabeel Second)
Wadi Al Safa 3,وادي الصفا 3,Majan,high,A,500,Y,Y,Y,Y,15811,6574,2710,62.7,IMG World Adventures,First Abu Dhabi Bank Metro Station,Majan | Living Legends | Mohammed Bin Rashid AL Maktoum District 11,Surface as 'Majan' (alias → Wadi Al Safa 3)
Wadi Al Safa 4,وادي الصفا 4,City Of Arabia,high,A,436,Y,Y,Y,Y,4818,332,184,89.9,IMG World Adventures,,City Of Arabia | Global Village | The Villa,Surface as 'City Of Arabia' (alias → Wadi Al Safa 4)
Nad Al Shiba First,ند الشبا الاولى,Meydan Racecourse Community,high,A,373,Y,Y,Y,Y,5899,3373,2947,48.0,Downtown Dubai,Business Bay Metro Station,Meydan Racecourse Community | Nad Al Sheba Gardens | Meydan,Surface as 'Meydan Racecourse Community' (alias → Nad Al Shiba First)
Um Suqaim Third,ام سقيم الثالثه,Umm Suqeim Third,medium,A,327,Y,Y,Y,Y,4479,519,108,86.8,Burj Al Arab,First Abu Dhabi Bank Metro Station,,Surface as 'Umm Suqeim Third' (alias → Um Suqaim Third)
Marsa Dubai,مرسى دبي,Dubai Marina,high,A,320,Y,Y,Y,Y,136464,61,255,99.5,Burj Al Arab,Jumeirah Beach Residency,Dubai Marina | Jumeriah Beach Residence  - JBR | Dubai Harbour,Surface as 'Dubai Marina' (alias → Marsa Dubai)
Me'Aisem First,معيصم الأول,International Media Production Zone,high,A,308,Y,Y,Y,Y,27344,4782,1958,80.0,Sports City Swimming Academy,Damac Properties,International Media Production Zone | Jumeirah Golf Estates | Jumeirah Golf Estates - Phase B,Surface as 'International Media Production Zone' (alias → Me'Aisem First)
Palm Jabal Ali,نخلة جبل علي,,low,A,302,N,Y,N,N,213,0,1686,11.2,Jabel Ali,UAE Exchange Metro Station,Palm Jabal Ali,Partial data exists — needs rent/yield ETL or alias
Wadi Al Safa 7,وادي الصفا 7,Arabian Ranches II,high,A,277,Y,Y,Y,Y,2023,15344,1382,10.8,Dubai Cycling Course,,Arabian Ranches II | 800 Villas | Rukan,Surface as 'Arabian Ranches II' (alias → Wadi Al Safa 7)
Al Hebiah Sixth,الحبيه السادسة,Mudon,high,A,270,Y,Y,Y,Y,366,5557,900,5.4,Dubai Cycling Course,,Mudon,Surface as 'Mudon' (alias → Al Hebiah Sixth)
Al Hebiah Fourth,الحبيه الرابعة,Dubai Sports City,high,A,262,Y,Y,Y,Y,34720,9333,3186,73.2,Sports City Swimming Academy,Nakheel Metro Station,Dubai Sports City | TILAL AL GHAF,Surface as 'Dubai Sports City' (alias → Al Hebiah Fourth)
Al Kifaf,الكفاف,Wasl 1,high,A,172,Y,Y,Y,Y,4517,0,36,99.2,Burj Khalifa,Al Jafiliya Metro Station,Wasl 1,Surface as 'Wasl 1' (alias → Al Kifaf)
Warsan Fourth,ورسان الرابعة,International City Phase 3,high,A,147,Y,Y,Y,Y,5556,0,798,83.9,,Rashidiya Metro Station,International City Phase 3 | International City Phase 2,Surface as 'International City Phase 3' (alias → Warsan Fourth)
Al Hebiah First,الحبيه الاولى,Motor City,high,A,146,Y,Y,Y,Y,22577,1833,189,91.6,Motor City,Sharaf Dg Metro Station,Motor City,Surface as 'Motor City' (alias → Al Hebiah First)
Al Hebiah Third,الحبية الثالثة,DAMAC HILLS,high,A,145,Y,Y,Y,Y,12174,5542,5754,51.8,Motor City,,DAMAC HILLS | Mudon,Surface as 'DAMAC HILLS' (alias → Al Hebiah Third)
Mirdif,مردف,Uptown Mirdif,high,A,130,Y,Y,Y,Y,2378,6358,891,23.8,Dubai International Airport,Rashidiya Metro Station,Uptown Mirdif,Surface as 'Uptown Mirdif' (alias → Mirdif)
Al Merkadh,المركاض,SOBHA HARTLAND,high,A,105,Y,Y,Y,Y,37193,1830,1892,90.7,Downtown Dubai,Burj Khalifa Dubai Mall Metro Station,SOBHA HARTLAND | Meydan One Community | Mohammed Bin Rashid AL Maktoum City -District -1 Community,Surface as 'SOBHA HARTLAND' (alias → Al Merkadh)
Al Thanyah Fifth,الثنيه الخامسة,DMCC Master Community,high,A,99,Y,Y,Y,Y,81987,14657,1101,83.7,Sports City Swimming Academy,Jumeirah Lakes Towers,DMCC Master Community | Jumeirah Park | Jumeirah Islands,Surface as 'DMCC Master Community' (alias → Al Thanyah Fifth)
Jumeirah First,جميرا الاولى,LA MER,high,A,80,Y,Y,Y,Y,3156,1190,1145,55.7,Burj Khalifa,Trade Centre Metro Station,LA MER | Pearl Jumeira,Surface as 'LA MER' (alias → Jumeirah First)
Nad Al Hamar,ند الحمر,Nadd Al Hamar,medium,A,66,Y,Y,Y,Y,145,1644,708,5.2,Dubai International Airport,Rashidiya Metro Station,,Surface as 'Nadd Al Hamar' (alias → Nad Al Hamar)
Muhaisanah First,محيصنه الاولى,Madinat Badr,high,A,61,Y,Y,Y,Y,1040,687,158,52.2,Dubai International Airport,Rashidiya Metro Station,Madinat Badr,Surface as 'Madinat Badr' (alias → Muhaisanah First)
Wadi Al Safa 2,وادي الصفا 2,Liwan1,high,A,53,Y,Y,Y,Y,12153,2617,2336,70.9,IMG World Adventures,,Liwan1 | Falcon City | Liwan2,Surface as 'Liwan1' (alias → Wadi Al Safa 2)
Al Jadaf,الجداف,Dubai Health Care City Phase 2,high,A,51,Y,Y,Y,Y,13194,0,1608,87.3,Dubai International Airport,Al Jadaf Metro Station,Dubai Health Care City Phase 2 | Jaddaf Waterfront | Sama Al Jadaf,Surface as 'Dubai Health Care City Phase 2' (alias → Al Jadaf)
Jumeirah Second,جميرا الثانيه,Dubai Water Canal,high,A,25,Y,Y,Y,Y,402,552,145,35.5,Burj Khalifa,Business Bay Metro Station,Dubai Water Canal,Surface as 'Dubai Water Canal' (alias → Jumeirah Second)
Al Kheeran,الخيران,Festival City,high,A,24,Y,Y,Y,Y,1034,138,31,84.5,Dubai International Airport,Rashidiya Metro Station,Festival City,Surface as 'Festival City' (alias → Al Kheeran)
Jabal Ali Industrial Second,جبل علي الصناعية الثانية,Down Town Jabal Ali,high,A,19,Y,Y,Y,Y,3518,3,102,97.0,Expo 2020 Site,UAE Exchange Metro Station,Down Town Jabal Ali | Jumeirah Golf Estates,Surface as 'Down Town Jabal Ali' (alias → Jabal Ali Industrial Second)
Nadd Hessa,ند حصة,Silicon Oasis,high,A,18,Y,Y,Y,Y,32054,1770,500,92.3,IMG World Adventures,,Silicon Oasis,Surface as 'Silicon Oasis' (alias → Nadd Hessa)
Al Barshaa South Second,البرشاء جنوب الثانية,Dubai Science Park,high,A,14,Y,Y,Y,Y,11717,1932,570,81.2,Motor City,First Abu Dhabi Bank Metro Station,Dubai Science Park | Dubiotech,Surface as 'Dubai Science Park' (alias → Al Barshaa South Second)
Al Barshaa South Third,البرشاء جنوب الثالثة,Arjan,high,A,12,Y,Y,Y,Y,26879,0,597,97.3,Motor City,Sharaf Dg Metro Station,Arjan,Surface as 'Arjan' (alias → Al Barshaa South Third)
Al Goze Fourth,القوز الرابعه,Al Khail Towers,high,A,9,Y,Y,Y,Y,3779,328,82,89.0,Downtown Dubai,Noor Bank Metro Station,Al Khail Towers,Surface as 'Al Khail Towers' (alias → Al Goze Fourth)
Island 2,جزيرة 2,Jumeira Bay,high,A,9,Y,Y,Y,Y,487,231,325,46.6,Burj Khalifa,Business Bay Metro Station,Jumeira Bay,Surface as 'Jumeira Bay' (alias → Island 2)
Al Thanyah Third,الثنيه الثالثة,The Greens,high,A,3,Y,Y,Y,Y,28084,5567,233,82.8,Burj Al Arab,Dubai Internet City,The Greens | Lakes - Maeen | Lakes - Ghadeer,Surface as 'The Greens' (alias → Al Thanyah Third)
Rega Al Buteen,رقه البطين,Riggat Al Buteen,medium,A,3,Y,Y,Y,Y,341,0,60,66.0,Dubai International Airport,Al Rigga Metro Station,,Surface as 'Riggat Al Buteen' (alias → Rega Al Buteen)
Al Safouh First,الصفوح الاولى,Sufouh Gardens,high,A,2,Y,Y,Y,Y,1991,260,84,83.1,Burj Al Arab,Dubai Internet City,Sufouh Gardens | TECOM Site B,Surface as 'Sufouh Gardens' (alias → Al Safouh First)
Al Hebiah Second,الحبيه الثانية,Dubai Studio City,high,A,1,Y,Y,Y,Y,5626,310,88,92.9,Motor City,Dubai Internet City,Dubai Studio City | Arabian Ranches - Polo Homes,Surface as 'Dubai Studio City' (alias → Al Hebiah Second)
Al Nahda First,النهده الاولى,Al Nahda First,medium,A,1,N,N,Y,N,402,0,58,55.7,Dubai International Airport,STADIUM Metro Station,,Partial data exists — needs rent/yield ETL or alias
Al Barsha South Fifth,البرشاء جنوب الخامسة,Jumeirah Village Triangle,high,A,0,Y,Y,Y,Y,16516,6886,407,69.1,Sports City Swimming Academy,Damac Properties,Jumeirah Village Triangle,Surface as 'Jumeirah Village Triangle' (alias → Al Barsha South Fifth)
Al Warsan First,ورسان الاولى,International City Phase 1,high,A,0,Y,Y,Y,Y,55413,2044,443,94.7,Dubai International Airport,Rashidiya Metro Station,International City Phase 1 | WARSAN FIRST DEVELOPMENT,Surface as 'International City Phase 1' (alias → Al Warsan First)
Al Barsha South Fourth,البرشاء جنوب الرابعة,Jumeirah Village Circle,high,A,0,Y,Y,Y,Y,98746,8651,1789,89.9,Sports City Swimming Academy,Dubai Internet City,Jumeirah Village Circle,Surface as 'Jumeirah Village Circle' (alias → Al Barsha South Fourth)
Al Thanayah Fourth,الثنيه الرابعة,Emirates Living,high,A,0,Y,Y,Y,Y,8,30608,1686,0.0,Sports City Swimming Academy,Damac Properties,Emirates Living | Meadows 7 | Emirates Hills,Surface as 'Emirates Living' (alias → Al Thanayah Fourth)
Jabal Ali,جبل على,Jumeirah Golf Estates,high,A,0,N,Y,N,N,1,1,1495,0.1,Expo 2020 Site,Harbour Tower,Jumeirah Golf Estates | Dubai Water Front | Down Town Jabal Ali,Partial data exists — needs rent/yield ETL or alias
Al Safouh Second,الصفوح الثانيه,Site A,high,A,0,Y,Y,Y,Y,1739,16,88,86.6,Burj Al Arab,Dubai Internet City,Site A | TECOM Site A,Surface as 'Site A' (alias → Al Safouh Second)
Um Hurair Second,ام هرير الثانيه,Dubai Health Care City Phase 1,medium,A,0,Y,Y,Y,Y,275,0,56,67.1,Dubai International Airport,Healthcare City Metro Station,Dubai Health Care City Phase 1,Surface as 'Dubai Health Care City Phase 1' (alias → Um Hurair Second)
World Islands,جزر العالم,The World,high,A,0,N,Y,N,N,1066,64,125,84.8,Burj Al Arab,Noor Bank Metro Station,The World,Partial data exists — needs rent/yield ETL or alias
Al Thanyah First,الثنيه الأولى,Barsha Heights,high,A,0,Y,Y,Y,Y,8149,2,105,95.6,Burj Al Arab,Dubai Internet City,Barsha Heights | TECOM Site C,Surface as 'Barsha Heights' (alias → Al Thanyah First)
Hessyan First,حصيان الاولى,Badra,high,A,0,Y,Y,Y,Y,500,165,28,71.0,Dubai Parks and Resorts,UAE Exchange Metro Station,Badra | Dubai Water Front | Veneto,Surface as 'Badra' (alias → Hessyan First)
Al Yelayiss 1,اليلايس 1,Al Yalayis 1,medium,B,3244,N,N,Y,N,0,14474,6504,0.0,Dubai Cycling Course,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Yelayiss 5,اليلايس 5,,low,B,1006,N,N,N,N,0,0,1360,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Me'Aisem Second,معيصم الثانية,,low,B,585,N,N,N,N,0,0,2282,0.0,Sports City Swimming Academy,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Yufrah 1,اليفره 1,The Valley,high,B,495,N,N,Y,N,0,9654,1529,0.0,,,The Valley,Villa/Land only — no apartment Unit sales (ceiling)
Saih Shuaib 1,سيح شعيب 1,JABEL ALI HILLS,high,B,336,N,N,Y,N,0,332,4632,0.0,Dubai Parks and Resorts,,JABEL ALI HILLS,Villa/Land only — no apartment Unit sales (ceiling)
Al Aweer First,العوير الأولى,,low,B,319,N,N,Y,N,0,25,4991,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Khawaneej,,,low,B,142,N,N,N,N,0,0,142,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Khawaneej Second,الخوانيج الثانية,Al Khwaneej Second,medium,B,84,N,N,Y,N,0,153,1919,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Qusais Old,,,low,B,76,N,N,N,N,0,0,76,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Mizhar,,,low,B,74,N,N,N,N,0,0,74,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Athbah,العذبة,,low,B,60,N,N,Y,N,0,0,1025,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Ghadeer Al Tair,غدير الطير,,low,B,56,N,N,Y,N,0,478,1209,0.0,Downtown Dubai,Noor Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Madinat Hind 3,مدينة هند 3,Tijara Town,medium,B,56,N,N,Y,N,0,0,1008,0.0,Hamdan Sports Complex,,Tijara Town,Villa/Land only — no apartment Unit sales (ceiling)
Al Khawaneej First,الخوانيج الأولى,AL KHAWANEEJ DISTRICT,high,B,52,N,N,Y,N,0,1248,1332,0.0,,Etisalat Metro Station,AL KHAWANEEJ DISTRICT,Villa/Land only — no apartment Unit sales (ceiling)
Al-Tawar,,,low,B,51,N,N,N,N,0,0,51,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Warqa Third,الورقاء الثالثه,Al Warqa Third,medium,B,50,N,N,Y,N,0,1759,734,0.0,Dubai International Airport,Rashidiya Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Nad Al Shiba Third,ند الشبا الثالثه,Nad Al Shiba Villas,high,B,49,N,N,Y,N,0,7,3607,0.0,IMG World Adventures,Creek Metro Station,Nad Al Shiba Villas,Villa/Land only — no apartment Unit sales (ceiling)
Hor Al Anz,هور العنز,Hor Al Anz,medium,B,48,N,N,Y,N,0,1099,217,0.0,Dubai International Airport,Abu Baker Al Siddique Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Um Suqaim First,ام سقيم الاولى,Umm Suqeim First,medium,B,41,N,N,Y,N,0,948,175,0.0,Burj Al Arab,Noor Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Safaa,,,low,B,41,N,N,N,N,0,0,41,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Warqa Fourth,الورقاء الرابعه,Al Warqa Fourth,medium,B,37,N,N,Y,N,0,1229,583,0.0,Dubai International Airport,Rashidiya Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Jabal Ali Industrial First,جبل على الصناعية الأولى,JABAL ALI INDUSTRIAL DEVELOPMENT,medium,B,32,N,N,Y,N,0,0,832,0.0,Expo 2020 Site,DANUBE Metro Station,JABAL ALI INDUSTRIAL DEVELOPMENT,Villa/Land only — no apartment Unit sales (ceiling)
Al Rashidiya,الراشديه,Al Rashidiya,medium,B,31,N,N,Y,N,0,1640,131,0.0,Dubai International Airport,Rashidiya Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Bada,البدع,DUBAI HILLS - LAMBOURGHINI,high,B,29,N,N,Y,N,0,929,91,0.0,Burj Khalifa,Trade Centre Metro Station,DUBAI HILLS - LAMBOURGHINI | DUBAI HILLS - PALM HILLS,Villa/Land only — no apartment Unit sales (ceiling)
Al-Safiyyah,,,low,B,29,N,N,N,N,0,0,29,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Murar Jadeed,,,low,B,29,N,N,N,N,0,0,29,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Mizhar First,المزهر الاولى,Al Mizhar First,medium,B,28,N,N,Y,N,0,1733,412,0.0,Dubai International Airport,Etisalat Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Goze First,القوز الاولى,Al Qouz First,medium,B,27,N,N,Y,N,0,696,247,0.0,Downtown Dubai,Business Bay Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Warsan Third,ورسان الثالثه,Warsan Third,medium,B,27,N,N,Y,N,0,0,258,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Barsha Third,البرشاء الثالثه,Al Barsha Third,medium,B,26,N,N,Y,N,0,1891,456,0.0,Burj Al Arab,Dubai Internet City,,Villa/Land only — no apartment Unit sales (ceiling)
Al Barsha Second,البرشاء الثانيه,Al Barsha Second,medium,B,26,N,N,Y,N,0,2013,382,0.0,Burj Al Arab,Sharaf Dg Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Mizhar Second,المزهر الثانيه,Al Mizhar Second,medium,B,25,N,N,Y,N,0,1123,242,0.0,Dubai International Airport,Etisalat Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Wadi Al Amardi,وادي العمردي,,low,B,25,N,N,Y,N,0,95,329,0.0,,Etisalat Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Abu Hail,ابو هيل,Abu Hail,medium,B,23,N,N,Y,N,0,1057,220,0.0,Dubai International Airport,Abu Baker Al Siddique Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Barshaa South First,البرشاء جنوب الاولى,Al Barsha South First,medium,B,22,N,N,Y,N,0,1887,271,0.0,Motor City,First Abu Dhabi Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Um Al Sheif,ام الشيف,,low,B,22,N,N,Y,N,0,631,405,0.0,Burj Al Arab,First Abu Dhabi Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Karama,الكرامه,DUBAI HILLS - PALM HILLS,high,B,21,N,N,Y,N,0,3,51,0.0,Burj Khalifa,ADCB Metro Station,DUBAI HILLS - PALM HILLS,Villa/Land only — no apartment Unit sales (ceiling)
Al Mamzer,الممزر,Al Mamzar,medium,B,20,N,N,Y,N,0,238,379,0.0,Dubai International Airport,STADIUM Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Nad Al Shiba Fourth,ند الشبا الرابعه,,low,B,19,N,N,Y,N,0,347,652,0.0,IMG World Adventures,Creek Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Warqa Second,الورقاء الثانيه,Al Warqa Second,medium,B,18,N,N,Y,N,0,1212,226,0.0,Dubai International Airport,Rashidiya Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Muhaisna,,,low,B,17,N,N,N,N,0,0,17,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Waheda,الوحيده,Al Wuheida,medium,B,17,N,N,Y,N,0,940,114,0.0,Dubai International Airport,Abu Hail Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Naif,نايف,Naif,medium,B,17,N,N,Y,N,0,38,78,0.0,Dubai International Airport,Baniyas Square Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Ttay,الطي,Al Khawaneej Labour City,medium,B,16,N,N,Y,N,0,0,263,0.0,,,Al Khawaneej Labour City,Villa/Land only — no apartment Unit sales (ceiling)
Al Twar Fourth,الطوار الرابعة,Al Twar Fourth,medium,B,15,N,N,Y,N,0,444,72,0.0,Dubai International Airport,Etisalat Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Suq Al Kabeer,السوق الكبير,Al Souq Al Kabeer,medium,B,14,N,N,Y,N,0,13,73,0.0,Dubai International Airport,Al Ghubaiba Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Mizhar Third,المزهر الثالثة,,low,B,14,N,N,Y,N,0,551,199,0.0,Dubai International Airport,Etisalat Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Nahda Second,النهده الثانيه,Al Nahda Second,medium,B,14,N,N,Y,N,0,0,124,0.0,Dubai International Airport,Al Nahda Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Twar Second,الطوار الثانيه,Al Twar Second,medium,B,14,N,N,Y,N,0,184,35,0.0,Dubai International Airport,Al Qusais Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Mizhar Fourth,المزهر الرابعة,,low,B,13,N,N,Y,N,0,878,432,0.0,Dubai International Airport,Etisalat Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Twar Third,الطوار الثالثه,Al Twar Third,medium,B,12,N,N,Y,N,0,631,96,0.0,Dubai International Airport,Etisalat Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Riqqa West,,,low,B,12,N,N,N,N,0,0,12,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Um Suqaim Second,ام سقيم الثانيه,Umm Suqeim Second,medium,B,11,N,N,Y,N,0,965,244,0.0,Burj Al Arab,Noor Bank Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Warqa First,الورقاء الاولى,Al Warqa First,medium,B,10,N,N,Y,N,0,0,265,0.0,Dubai International Airport,Rashidiya Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Nad Al Shiba Second,ند الشبا الثانيه,,low,B,10,N,N,Y,N,0,41,236,0.0,IMG World Adventures,Creek Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Mararr,المرر,Al Murar,medium,B,9,N,N,Y,N,0,11,23,0.0,Dubai International Airport,Palm Deira Metro Stations,,Villa/Land only — no apartment Unit sales (ceiling)
Al Aweer Second,العوير الثانية,,low,B,9,N,N,Y,N,0,50,166,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Shumaal,,,low,B,9,N,N,N,N,0,0,9,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Sikkat Al Khail North,,,low,B,9,N,N,N,N,0,0,9,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Muhaisanah Third,محيصنه الثالثه,Dubai International Financial Center,high,B,9,N,N,Y,N,0,685,172,0.0,Dubai International Airport,Al Qusais Metro Station,Dubai International Financial Center,Villa/Land only — no apartment Unit sales (ceiling)
Al Khabeesi,الخبيصى,Al Khabaisi,medium,B,8,N,N,Y,N,0,10,63,0.0,Dubai International Airport,Abu Baker Al Siddique Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Muhaisnah North,,,low,B,8,N,N,N,N,0,0,8,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Muteena,المطينه,Al Muteena,medium,B,8,N,N,Y,N,0,258,132,0.0,Dubai International Airport,Salah Al Din Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Ras,الراس,Al Ras,medium,B,8,N,N,Y,N,0,0,32,0.0,Dubai International Airport,Al Ras Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Mushrif,مشرف,,low,B,8,N,N,Y,N,0,0,250,0.0,Dubai International Airport,Etisalat Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Jafliya,الجافليه,Al Jafiliya,medium,B,8,N,N,Y,N,0,447,46,0.0,Burj Khalifa,Al Jafiliya Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Murqabat,المرقبات,Al Muraqqabat,medium,B,8,N,N,Y,N,0,12,168,0.0,Dubai International Airport,Al Rigga Metro Station,,Villa/Land only — no apartment Unit sales (ceiling)
Al Rowaiyah First,الروية الأولى,Dubai International Academic City,medium,B,7,N,N,Y,N,0,0,63,0.0,,,Dubai International Academic City | Dubai Outsource City,Villa/Land only — no apartment Unit sales (ceiling)
Al-Bastakiyah,,,low,B,7,N,N,N,N,0,0,7,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al-Zarouniyyah,,,low,B,7,N,N,N,N,0,0,7,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Naif North,,,low,B,7,N,N,N,N,0,0,7,0.0,,,,Villa/Land only — no apartment Unit sales (ceiling)
Al Dhagaya,الضغايه,Al Daghaya,medium,B,7,N,N,Y,N,0,8,78,0.0,Dubai International Airport,Palm Deira Metro Stations,,Villa/Land only — no apartment Unit sales (ceiling)
